test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_load,bbr,33,235930078.125969,70.368,6631840
amsterdam_lan_load,bbr,34,337634025.9142139,67.337,6704240
amsterdam_lan_load,bbr,35,307226944.73537576,67.295,6426224
amsterdam_lan_load,bbr,36,307234306.25770175,68.2,3037904
amsterdam_lan_load,bbr,37,310380050.0077806,67.227,6408848
amsterdam_lan_load,bbr,38,292555929.97307235,67.254,6889584
amsterdam_lan_load,bbr,39,297791111.0671851,67.335,6730304
amsterdam_lan_load,bbr,40,276823239.0024587,67.173,6391472
amsterdam_lan_load,bbr,41,286266400.9677565,67.233,6571024
amsterdam_lan_load,bbr,42,292564405.0304794,67.262,6727408
amsterdam_lan_load,bbr,43,314555813.4173062,67.238,6568128
amsterdam_lan_load,bbr,44,250614683.10051835,67.254,6571024
amsterdam_lan_load,bbr,45,319829748.7438591,67.298,6646320
amsterdam_lan_load,bbr,46,319796809.2385372,67.222,6336448
amsterdam_lan_load,bbr,47,289405527.0072548,67.154,6585504
amsterdam_lan_load,bbr,48,312471885.79529744,67.892,6982256
amsterdam_lan_load,bbr,49,286277850.77538323,67.197,6582608
amsterdam_lan_load,bbr,50,313516375.4464803,67.289,6721616
amsterdam_lan_load,bbr,51,308272083.278199,67.232,6333552
amsterdam_lan_load,bbr,52,337644853.0338563,67.246,6194544
amsterdam_lan_load,bbr,53,312437843.824208,67.327,6547856
amsterdam_lan_load,bbr,54,282100791.6236783,67.159,6547856
amsterdam_lan_load,bbr,55,338411528.2276035,67.277,6547856
amsterdam_lan_load,bbr,56,291743073.5779812,67.245,6530480
amsterdam_lan_load,bbr,57,304104078.45463675,67.288,6686864
amsterdam_lan_load,bbr,58,316681032.01266664,67.31,6663696
amsterdam_lan_load,bbr,59,310104346.363656,67.326,6542064
amsterdam_lan_load,cubic,0,159310435.55721292,68.485,5306920
amsterdam_lan_load,cubic,1,345005646.0643616,67.533,6288664
amsterdam_lan_load,cubic,2,348169006.7623094,67.856,4403368
amsterdam_lan_load,cubic,3,325065380.1430923,67.507,2190824
amsterdam_lan_load,cubic,4,227532800.54490227,67.136,1624656
amsterdam_lan_load,cubic,5,196091952.03375673,67.204,1726016
amsterdam_lan_load,cubic,6,189782572.99404222,67.143,1271344
amsterdam_lan_load,cubic,7,143656059.38416418,67.818,716760
amsterdam_lan_load,cubic,8,87030936.50872675,67.095,718208
amsterdam_lan_load,cubic,9,92275425.0058865,67.074,758752
amsterdam_lan_load,cubic,10,94372593.75602026,67.076,783368
amsterdam_lan_load,cubic,11,92279946.29962865,67.1,797848
amsterdam_lan_load,cubic,12,69202212.95899795,67.092,602368
amsterdam_lan_load,cubic,13,80740674.43878767,67.091,640016
amsterdam_lan_load,cubic,14,70255153.12948175,67.123,663184
amsterdam_lan_load,cubic,15,61868583.796746776,67.179,502456
amsterdam_lan_load,cubic,16,59764528.80984007,67.093,534312
amsterdam_lan_load,cubic,17,73401566.89618143,67.15,554584
amsterdam_lan_load,cubic,18,60816436.51551854,67.11,563272
amsterdam_lan_load,cubic,19,75500644.6333181,67.119,566168
amsterdam_lan_load,cubic,20,63962304.88579934,67.177,566168
amsterdam_lan_load,cubic,21,66060020.251085214,67.172,566168
amsterdam_lan_load,cubic,22,59768953.12524547,67.171,571960
amsterdam_lan_load,cubic,23,74447484.90174635,67.107,584992
amsterdam_lan_load,cubic,24,74400984.1037559,67.143,608160
amsterdam_lan_load,cubic,25,71353544.81689,67.11,647256
amsterdam_lan_load,cubic,26,74446064.98265725,67.142,498112
amsterdam_lan_load,cubic,27,36701518.48778372,67.448,322904
amsterdam_lan_load,cubic,28,34600689.9053022,67.136,298288
amsterdam_lan_load,cubic,29,34603804.143317185,67.098,224440
amsterdam_lan_load,cubic,30,35652795.2911532,67.414,172312
amsterdam_lan_load,cubic,31,22020249.563570913,67.019,194032
amsterdam_lan_load,cubic,32,24115439.76058657,67.052,205616
amsterdam_lan_load,cubic,33,23069156.010154936,67.03,209960
amsterdam_lan_load,cubic,34,23054356.1395937,67.048,217200
amsterdam_lan_load,cubic,35,23083815.1840608,67.053,228784
amsterdam_lan_load,cubic,36,35650334.543790355,67.047,238920
amsterdam_lan_load,cubic,37,23067748.03700871,67.036,250504
amsterdam_lan_load,cubic,38,35652903.67384705,67.087,262088
amsterdam_lan_load,cubic,39,24118429.682896573,67.075,279464
amsterdam_lan_load,cubic,40,34572551.08122513,67.059,330144
amsterdam_lan_load,cubic,41,47226770.33482903,67.079,403992
amsterdam_lan_load,cubic,42,49280951.21626698,67.121,501008
amsterdam_lan_load,cubic,43,71302598.5045486,67.128,622640
amsterdam_lan_load,cubic,44,83889350.12747426,67.197,777576
amsterdam_lan_load,cubic,45,72354133.20389384,67.176,632776
amsterdam_lan_load,cubic,46,73395402.8294289,67.112,700832
amsterdam_lan_load,cubic,47,94377594.7258976,67.119,748616
amsterdam_lan_load,cubic,48,63961855.02565428,67.058,567616
amsterdam_lan_load,cubic,49,69203384.35007577,67.124,603816
amsterdam_lan_load,cubic,50,73402153.17078224,67.078,628432
amsterdam_lan_load,cubic,51,58719843.00290475,67.105,479288
amsterdam_lan_load,cubic,52,58722839.1136266,67.135,506800
amsterdam_lan_load,cubic,53,61862702.2990881,67.137,377928
amsterdam_lan_load,cubic,54,36700343.75092,67.151,292496
amsterdam_lan_load,cubic,55,34606052.5178459,67.04,314216
amsterdam_lan_load,cubic,56,35647699.923198484,67.093,324352
amsterdam_lan_load,cubic,57,34603354.50346974,67.031,327248
amsterdam_lan_load,cubic,58,35651941.003574885,67.141,327248
amsterdam_lan_load,cubic,59,47147352.79851634,67.074,333040
amsterdam_lan_load,reno,0,158243824.50501916,68.357,4957952
amsterdam_lan_load,reno,1,268432768.02691624,67.226,1578320
amsterdam_lan_load,reno,2,182444742.30680925,67.403,1598592
amsterdam_lan_load,reno,3,185599998.5850674,67.119,809432
amsterdam_lan_load,reno,4,95423948.0682377,67.089,831152
amsterdam_lan_load,reno,5,106952928.78108028,67.173,851424
amsterdam_lan_load,reno,6,96464553.20425023,67.201,873144
amsterdam_lan_load,reno,7,78646818.91652367,67.05,225888
amsterdam_lan_load,reno,8,23067541.805373907,67.054,247608
amsterdam_lan_load,reno,9,35654078.92458448,67.148,267880
amsterdam_lan_load,reno,10,34602801.75122934,67.071,289600
amsterdam_lan_load,reno,11,35651550.000032425,67.134,311320
amsterdam_lan_load,reno,12,35651941.003574885,67.071,333040
amsterdam_lan_load,reno,13,25165975.500912044,67.103,183896
amsterdam_lan_load,reno,14,23068350.25448754,67.089,205616
amsterdam_lan_load,reno,15,23066780.15516153,67.152,227336
amsterdam_lan_load,reno,16,34605291.33816,67.085,249056
amsterdam_lan_load,reno,17,23068832.87612191,67.072,270776
amsterdam_lan_load,reno,18,35650942.26155168,67.111,291048
amsterdam_lan_load,reno,19,35652725.16152595,67.058,312768
amsterdam_lan_load,reno,20,35651620.1250366,67.032,334488
amsterdam_lan_load,reno,21,46137069.00163912,67.06,356208
amsterdam_lan_load,reno,22,47186156.25118286,67.088,377928
amsterdam_lan_load,reno,23,35650942.26155168,67.072,398200
amsterdam_lan_load,reno,24,48231218.72268868,67.087,419920
amsterdam_lan_load,reno,25,47188988.63704938,67.083,220096
amsterdam_lan_load,reno,26,34603630.88621233,67.034,241816
amsterdam_lan_load,reno,27,24116187.17166396,67.098,263536
amsterdam_lan_load,reno,28,34604183.6649428,67.06,285256
amsterdam_lan_load,reno,29,34601069.3586189,67.059,305528
amsterdam_lan_load,reno,30,35652795.2911532,67.058,327248
amsterdam_lan_load,reno,31,47185447.50473137,67.099,348968
amsterdam_lan_load,reno,32,34604565.25757894,67.052,370688
amsterdam_lan_load,reno,33,46134808.63933197,67.06,390960
amsterdam_lan_load,reno,34,47178749.21490085,67.173,412680
amsterdam_lan_load,reno,35,58730180.17697917,67.129,434400
amsterdam_lan_load,reno,36,49284302.8432395,67.128,456120
amsterdam_lan_load,reno,37,48209283.935182616,67.117,477840
amsterdam_lan_load,reno,38,57702203.9594066,67.127,499560
amsterdam_lan_load,reno,39,71303380.5006333,67.16,519832
amsterdam_lan_load,reno,40,49282384.63458702,67.169,541552
amsterdam_lan_load,reno,41,75494376.12695555,67.355,563272
amsterdam_lan_load,reno,42,60822639.324943654,67.135,583544
amsterdam_lan_load,reno,43,70251083.05026746,67.154,605264
amsterdam_lan_load,reno,44,73398561.2921405,67.152,626984
amsterdam_lan_load,reno,45,75464042.80852073,67.142,648704
amsterdam_lan_load,reno,46,58748574.14999288,67.111,340280
amsterdam_lan_load,reno,47,36698287.59553303,67.182,362000
amsterdam_lan_load,reno,48,46115348.99065976,67.109,383720
amsterdam_lan_load,reno,49,49309700.1296715,67.109,403992
amsterdam_lan_load,reno,50,46136931.503688,67.106,425712
amsterdam_lan_load,reno,51,47186296.87801013,67.109,447432
amsterdam_lan_load,reno,52,60816313.2697058,67.194,467704
amsterdam_lan_load,reno,53,48234352.2504284,67.112,489424
amsterdam_lan_load,reno,54,34603665.95001018,67.107,263536
amsterdam_lan_load,reno,55,35649514.3701522,67.054,283808
amsterdam_lan_load,reno,56,35651941.003574885,67.101,305528
amsterdam_lan_load,reno,57,34603216.31375407,67.122,327248
amsterdam_lan_load,reno,58,36701297.53525724,67.158,348968
amsterdam_lan_load,reno,59,46091942.221948154,67.166,369240
amsterdam_lan_load,vegas,0,145730939.0622392,70.843,3424520
amsterdam_lan_load,vegas,1,317731557.5343151,70.415,3444792
amsterdam_lan_load,vegas,2,346035607.588298,70.917,3465064
amsterdam_lan_load,vegas,3,344957694.26839954,70.849,3482440
amsterdam_lan_load,vegas,4,314283641.0428085,70.96,3501264
amsterdam_lan_load,vegas,5,344272045.0392226,71.015,3520088
amsterdam_lan_load,vegas,6,347061651.7081256,71.045,3537464
amsterdam_lan_load,vegas,7,330307720.4319154,70.879,3557736
amsterdam_lan_load,vegas,8,313543043.44207823,70.465,3578008
amsterdam_lan_load,vegas,9,324010949.6278778,70.561,3598280
amsterdam_lan_load,vegas,10,333448837.5083589,70.973,3618552
amsterdam_lan_load,vegas,11,322953977.6709525,70.939,3638824
amsterdam_lan_load,vegas,12,314552363.827719,70.93,3659096
amsterdam_lan_load,vegas,13,322959791.008096,70.896,3676472
amsterdam_lan_load,vegas,14,328234808.33788,70.97,3695296
amsterdam_lan_load,vegas,15,329236419.07140267,71.03,3715568
amsterdam_lan_load,vegas,16,335342441.532233,70.986,3731496
amsterdam_lan_load,vegas,17,336796312.1705508,70.923,3745976
amsterdam_lan_load,vegas,18,334498076.70376766,71.15,3759008
amsterdam_lan_load,vegas,19,326100294.14354783,71.049,3773488
amsterdam_lan_load,vegas,20,318780499.56289864,70.952,3787968
amsterdam_lan_load,vegas,21,324014194.1797063,70.916,3801000
amsterdam_lan_load,vegas,22,337628632.7382484,70.687,3811136
amsterdam_lan_load,vegas,23,339730807.6798332,70.922,3825616
amsterdam_lan_load,vegas,24,342887090.64687365,70.93,3832856
amsterdam_lan_load,vegas,25,316677237.91763,71.075,3842992
amsterdam_lan_load,vegas,26,347061320.7408735,71.182,3848784
amsterdam_lan_load,vegas,27,340799123.854691,71.003,3861816
amsterdam_lan_load,vegas,28,319817605.3240906,71.056,3870504
amsterdam_lan_load,vegas,29,341808760.88516,71.142,3886432
amsterdam_lan_load,vegas,30,339769548.5646392,71.048,3896568
amsterdam_lan_load,vegas,31,340778668.9635655,70.96,3909600
amsterdam_lan_load,vegas,32,319813430.6408205,70.96,3926976
amsterdam_lan_load,vegas,33,329246270.1320565,71.015,3941456
amsterdam_lan_load,vegas,34,341852871.47991586,71.14,3957384
amsterdam_lan_load,vegas,35,332286926.650251,71.056,3970416
amsterdam_lan_load,vegas,36,337738059.3723548,71.012,3987792
amsterdam_lan_load,vegas,37,314597964.5128951,71.001,4003720
amsterdam_lan_load,vegas,38,337612092.05672437,71.134,4023992
amsterdam_lan_load,vegas,39,338695135.3264135,71.112,4037024
amsterdam_lan_load,vegas,40,333454839.926511,71.032,4050056
amsterdam_lan_load,vegas,41,327149160.13121533,71.022,4061640
amsterdam_lan_load,vegas,42,327144246.401841,71.074,4073224
amsterdam_lan_load,vegas,43,334497418.7583852,71.068,4077568
amsterdam_lan_load,vegas,44,344982881.6930018,71.151,4081912
amsterdam_lan_load,vegas,45,329986622.2212176,70.959,4096392
amsterdam_lan_load,vegas,46,326421159.3464152,71.046,4096392
amsterdam_lan_load,vegas,47,337638775.27153885,71.06,4100736
amsterdam_lan_load,vegas,48,342886068.75859547,71.059,4107976
amsterdam_lan_load,vegas,49,328206576.8284617,71.097,4107976
amsterdam_lan_load,vegas,50,324807150.8472,71.131,4123904
amsterdam_lan_load,vegas,51,338941205.1086592,71.035,4134040
amsterdam_lan_load,vegas,52,341782116.67444086,71.015,4136936
amsterdam_lan_load,vegas,53,328286040.48367435,70.954,4148520
amsterdam_lan_load,vegas,54,326105192.2615856,71.05,4147072
amsterdam_lan_load,vegas,55,341817317.246806,71.147,4151416
amsterdam_lan_load,vegas,56,343931206.00862163,71.061,4157208
amsterdam_lan_load,vegas,57,322955902.59385026,71.19,4168792
amsterdam_lan_load,vegas,58,350229978.5893682,71.135,4180376
amsterdam_lan_load,vegas,59,332092414.53479815,71.071,4183272
